time(s),voltage(V),current(A),fluke current(A),total energy(J)
17.1865,12.4723,-0.977102,-0.160814,-180.165
17.2043,12.4723,-0.977102,-0.160814,-180.381
17.2199,12.4723,-0.977102,0.353509,-180.571
17.2402,12.4723,-0.565706,0.867831,-180.715
17.2599,12.4723,-0.15431,1.38215,-180.753
17.2799,12.4723,-0.977102,0.867831,-180.996
17.3,12.4723,-0.977102,0.867831,-181.241
17.3201,12.4723,-0.565706,0.867831,-181.383
17.3401,12.4723,-0.565706,0.867831,-181.524
17.3668,12.4723,-0.977102,0.353509,-181.85
17.3818,12.4723,-0.977102,0.867831,-182.033
17.4001,12.4723,-0.977102,0.353509,-182.256
17.42,12.4723,-0.565706,0.867831,-182.396
17.4401,12.4723,-0.977102,0.353509,-182.642
17.4602,12.4723,-0.977102,0.353509,-182.886
17.4801,12.4636,-1.38851,1.38215,-183.231
17.5,12.4723,-0.565706,0.353509,-183.371
17.5201,12.4723,-0.565706,0.867831,-183.513
17.5402,12.4723,-1.38851,1.38215,-183.86
17.5668,12.4723,-0.977102,1.38215,-184.185
17.5839,12.4723,-1.38851,0.867831,-184.48
17.6001,12.4723,-0.977102,0.867831,-184.678
17.6203,12.4723,-0.977102,0.867831,-184.924
17.6401,12.4723,-0.565706,1.38215,-185.064
17.66,12.4723,-0.565706,1.38215,-185.205
17.68,12.4723,-0.565706,0.867831,-185.346
17.7,12.4636,-0.15431,0.353509,-185.384
17.72,12.4723,-0.565706,0.867831,-185.525
17.74,12.4636,-0.977102,1.38215,-185.769
17.7667,12.4723,-0.977102,0.353509,-186.094
17.7818,12.4636,-0.977102,0.867831,-186.278
17.8002,12.4723,-0.977102,0.353509,-186.502
17.8201,12.4723,-0.977102,0.867831,-186.745
17.8401,12.4723,-0.565706,0.353509,-186.886
17.8601,12.4636,-0.977102,0.353509,-187.129
17.8801,12.4636,-0.565706,1.38215,-187.27
17.9,12.4636,-0.977102,0.867831,-187.513
17.9201,12.4636,-0.977102,0.867831,-187.758
17.9413,12.4636,-0.977102,0.867831,-188.016
17.9669,12.4636,-0.977102,0.867831,-188.327
17.9819,12.4636,-0.977102,0.867831,-188.511
18,12.4723,-0.977102,0.867831,-188.731
18.0209,12.4636,-0.977102,0.867831,-188.985
18.0406,12.4636,-1.7999,0.867831,-189.427
18.0601,12.4636,-0.977102,0.867831,-189.665
18.0801,12.4636,-0.977102,0.867831,-189.908
18.1001,12.4636,-0.977102,0.867831,-190.152
18.1201,12.4723,-0.977102,0.867831,-190.396
18.1405,12.4636,-0.977102,0.353509,-190.644
18.1668,12.4636,-0.565706,0.867831,-190.829
18.1819,12.4636,-0.977102,0.867831,-191.014
18.2002,12.4636,-0.15431,1.38215,-191.049
18.2201,12.4636,-0.15431,0.867831,-191.087
18.2401,12.4636,-0.977102,0.867831,-191.33
18.2601,12.4636,-0.977102,0.353509,-191.574
18.2801,12.4723,-0.977102,0.353509,-191.818
18.3,12.4636,-1.38851,0.867831,-192.163
18.32,12.4636,-0.977102,0.353509,-192.407
18.34,12.4636,-0.977102,1.38215,-192.65
18.3668,12.4636,-0.977102,0.867831,-192.976
18.3829,12.4636,-0.565706,0.867831,-193.09
18.4005,12.4636,-0.565706,0.867831,-193.214
18.42,12.4636,-0.977102,0.353509,-193.452
18.4401,12.4636,-0.565706,0.867831,-193.593
18.4601,12.4636,-0.565706,1.38215,-193.734
18.484,12.4636,-0.977102,0.867831,-194.025
18.5001,12.4636,-0.977102,0.867831,-194.221
18.5201,12.4636,-0.565706,0.353509,-194.362
18.5401,12.4636,-0.977102,0.353509,-194.605
18.568,12.4636,-0.977102,0.867831,-194.945
18.582,12.4636,-0.977102,0.867831,-195.116
18.6004,12.4636,-0.977102,0.867831,-195.34
18.6219,12.4636,-0.977102,-0.160814,-195.602
18.641,12.4636,-0.977102,1.38215,-195.835
18.6614,12.4636,-0.977102,0.867831,-196.083
18.6815,12.4636,-0.977102,0.867831,-196.328
18.7005,12.4636,-0.977102,0.867831,-196.559
18.7201,12.4636,-0.977102,0.867831,-196.797
18.7406,12.4636,-0.565706,0.867831,-196.942
18.7669,12.4636,-0.565706,0.353509,-197.128
18.7823,12.4636,-0.977102,1.38215,-197.316
18.8001,12.4636,-0.565706,0.353509,-197.441
18.8201,12.4636,-0.15431,0.867831,-197.479
18.8401,12.4636,-0.565706,0.867831,-197.62
18.8601,12.4636,-0.977102,0.867831,-197.864
18.8801,12.4636,-0.977102,0.353509,-198.107
18.9,12.4636,-0.977102,0.867831,-198.35
18.9201,12.4636,-0.977102,1.38215,-198.594
18.9402,12.4636,-0.977102,-0.160814,-198.839
18.9669,12.4636,-0.977102,0.353509,-199.164
18.9822,12.4636,-0.977102,0.353509,-199.351
19.0001,12.4636,-0.977102,0.867831,-199.568
19.0205,12.4636,-1.38851,1.38215,-199.921
19.0415,12.4636,-0.565706,0.353509,-200.069
19.0601,12.4636,-0.565706,0.353509,-200.201
19.0811,12.4636,-0.565706,0.867831,-200.349
19.1,12.4636,-0.565706,0.867831,-200.482
19.1201,12.4636,-0.565706,0.353509,-200.623
19.1407,12.4636,-0.565706,0.867831,-200.768
19.1668,12.4723,-0.977102,0.353509,-201.087
19.1819,12.4636,-0.977102,0.867831,-201.271
19.2001,12.4723,-0.565706,0.353509,-201.399
19.2204,12.4636,-0.15431,0.867831,-201.438
19.2402,12.4723,-0.977102,1.38215,-201.68
19.2601,12.4636,-0.977102,1.38215,-201.923
19.2801,12.4636,-0.977102,0.353509,-202.166
19.3001,12.4636,-0.565706,0.867831,-202.307
19.3221,12.4636,-0.565706,1.38215,-202.462
19.3401,12.4636,-0.977102,0.867831,-202.681
19.3668,12.4636,-0.977102,0.867831,-203.006
19.3818,12.4636,-0.565706,0.867831,-203.113
19.4001,12.4636,-0.977102,0.353509,-203.335
19.4201,12.4636,-0.977102,0.867831,-203.579
19.4401,12.4636,-0.565706,0.867831,-203.72
19.4601,12.4636,-1.38851,0.867831,-204.065
19.4801,12.4636,-1.38851,0.867831,-204.412
19.5032,12.4636,-0.977102,1.38215,-204.693
19.5201,12.4636,-0.977102,0.353509,-204.898
19.5401,12.4636,-0.565706,0.867831,-205.04
19.5668,12.4636,-0.565706,0.353509,-205.228
19.582,12.4636,-0.977102,1.38215,-205.413
19.6001,12.4636,-0.977102,0.867831,-205.633
19.62,12.4636,-0.565706,0.867831,-205.774
19.6401,12.4636,-0.565706,0.867831,-205.915
19.6601,12.4636,-0.977102,1.38215,-206.159
19.6804,12.4636,-0.565706,0.867831,-206.302
19.7,12.4636,-0.977102,0.867831,-206.541
19.7201,12.4636,-0.565706,0.353509,-206.683
19.7401,12.4636,-0.977102,1.38215,-206.926
19.7669,12.4636,-0.565706,1.38215,-207.115
19.7819,12.4636,-0.565706,0.353509,-207.221
19.8001,12.4636,-0.565706,0.867831,-207.349
19.8201,12.4636,-0.977102,0.353509,-207.592
19.8401,12.4636,-0.977102,0.353509,-207.837
19.8601,12.4636,-0.977102,0.353509,-208.079
19.8801,12.4636,-0.977102,0.353509,-208.324
19.9001,12.4636,-0.977102,0.867831,-208.567
19.9201,12.4636,-0.15431,0.867831,-208.605
19.9401,12.4636,-0.977102,0.353509,-208.848
19.9669,12.4636,-0.977102,0.353509,-209.175
19.9819,12.4636,-0.977102,0.353509,-209.358
20.0001,12.4636,-0.977102,0.867831,-209.58
20.0201,12.4636,-0.565706,0.353509,-209.72
20.0401,12.4636,-1.38851,0.867831,-210.067
20.0601,12.4636,-0.977102,0.867831,-210.311
20.0802,12.4636,-0.977102,1.38215,-210.555
20.1001,12.4636,-1.38851,1.38215,-210.899
20.1201,12.4636,-1.38851,0.353509,-211.246
20.1419,12.4636,-1.38851,0.353509,-211.623
20.1669,12.4636,-0.977102,0.867831,-211.928
20.1822,12.4636,-0.977102,0.867831,-212.114
20.2001,12.4636,-0.977102,0.867831,-212.332
20.22,12.4636,-0.565706,0.867831,-212.473
20.2401,12.4636,-0.565706,0.867831,-212.614
20.2605,12.4636,-0.977102,0.353509,-212.862
20.2811,12.4636,-0.15431,0.353509,-212.902
20.3016,12.4636,-0.977102,0.867831,-213.151
20.3234,12.4636,-0.565706,0.867831,-213.305
20.3401,12.4636,-1.38851,0.867831,-213.594
20.3681,12.4636,-1.38851,0.353509,-214.079
20.3822,12.4636,-0.977102,0.353509,-214.25
20.4002,12.4636,-0.565706,0.867831,-214.377
20.4201,12.4636,-0.977102,0.867831,-214.619
20.4405,12.4636,-0.565706,0.867831,-214.763
20.4601,12.4636,-0.977102,0.867831,-215.002
